0.62									0.35	0.03									
0.02	0.88				0.03		0.01	0.01			0.02		0.03						
		0.97			0.02							0.01							
	0.02		0.96				0.01								0.01				
0.01				0.51					0.17		0.02		0.07	0.05		0.02	0.05		0.1
					0.86				0.05		0.07						0.02		
0.05				0.1		0.18		0.15		0.15		0.1		0.05	0.07	0.09		0.06	
			0.02				0.95								0.02		0.01		
		0.02		0.07		0.1		0.46	0.15				0.2						
0.4				0.1		0.05			0.41					0.04					
					0.1			0.15		0.38			0.09			0.1		0.05	0.13
											0.66		0.34						
	0.05		0.05				0.1					0.72					0.04	0.04	
		0.05									0.4		0.43			0.02			0.1
	0.01			0.08		0.05		0.01		0.09				0.7				0.06	
	0.2										0.05				0.75				
			0.03					0.07				0.05				0.77			0.08
				0.1	0.07												0.83		
	0.07						0.06											0.87	
											0.08	0.07		0.13					0.72
